# INTPOS INTNEG X0 Y BIOMASS BIOMASSPVALUE NBSPECIES NBSPECIESPVALUE
0.3 0.6 0.2227 10 9.135712 0 11 0 
0.3 0.8 0.2227 10 15.13515 0.024 10 0.01 
0.3 0 0.2227 10 8.464861 0.196 14 0 
0.3 1 0.2227 10 165.5915 0.008 10 0 
0.4 0.01 0.2227 10 8.542587 0.156 14 0 
0.4 0.02 0.2227 10 8.486517 0.116 14 0 
0.4 0.05 0.2227 10 8.313936 0.056 14 0 
0.4 0.1 0.2227 10 8.013758 0.026 14 0 
0.4 0.2 0.2227 10 7.392478 0.008 14 0 
0.4 0.3 0.2227 10 6.709486 0.012 11 0.122 
0.4 0.4 0.2227 10 7.284429 0.004 11 0.008 
0.4 0.5 0.2227 10 8.0894 0 11 0.002 
0.4 0.6 0.2227 10 9.269086 0 10 0.028 
0.4 0.8 0.2227 10 15.26838 0.026 10 0.008 
0.4 0 0.2227 10 8.597891 0.218 14 0 
0.4 1 0.2227 10 158.7138 0.01 10 0 
0.5 0.01 0.2227 10 8.67678 0.182 14 0 
0.5 0.02 0.2227 10 8.620937 0.13 14 0 
0.5 0.05 0.2227 10 8.449032 0.076 14 0 
0.5 0.1 0.2227 10 8.150429 0.032 14 0 
0.5 0.2 0.2227 10 7.545429 0.006 14 0 
0.5 0.3 0.2227 10 6.86144 0.016 11 0.114 
0.5 0.4 0.2227 10 7.435087 0.006 11 0.012 
0.5 0.5 0.2227 10 8.240174 0 11 0.002 
0.5 0.6 0.2227 10 9.410129 0 10 0.05 
0.5 0.8 0.2227 10 15.42389 0.03 10 0.008 
0.5 0 0.2227 10 8.731849 0.23 14 0 
0.5 1 0.2227 10 152.5898 0.014 9 0.002 
0.6 0.01 0.2227 10 8.812229 0.198 14 0 
0.6 0.02 0.2227 10 8.756599 0.156 14 0 
0.6 0.05 0.2227 10 8.585231 0.09 14 0 
0.6 0.1 0.2227 10 8.287381 0.044 14 0 
0.6 0.2 0.2227 10 7.689465 0.006 14 0 
0.6 0.3 0.2227 10 7.017209 0.02 11 0.098 
0.6 0.4 0.2227 10 7.589878 0.006 11 0.012 
0.6 0.5 0.2227 10 8.395599 0 11 0.002 
0.6 0.6 0.2227 10 9.557577 0 10 0.068 
0.6 0.8 0.2227 10 15.59792 0.03 10 0.008 
0.6 0 0.2227 10 8.867066 0.234 14 0 
0.6 1 0.2227 10 147.2296 0.016 9 0.002 
0.8 0.01 0.2227 10 9.087265 0.22 14 0 
0.8 0.02 0.2227 10 9.032132 0.192 14 0 
0.8 0.05 0.2227 10 8.861992 0.12 14 0 
0.8 0.1 0.2227 10 8.565458 0.066 14 0 
0.8 0.2 0.2227 10 7.973411 0.02 14 0 
0.8 0.3 0.2227 10 7.336814 0.034 11 0.07 
0.8 0.4 0.2227 10 7.908604 0.008 11 0.01 
0.8 0.5 0.2227 10 8.716731 0 11 0.002 
0.8 0.6 0.2227 10 9.867173 0 10 0.098 
0.8 0.8 0.2227 10 15.99165 0.034 10 0.008 
0.8 0 0.2227 10 9.141559 0.25 14 0 
0.8 1 0.2227 10 138.2622 0.02 9 0.002 
0 0.01 0.2227 10 7.993942 0 14 0 
0 0.02 0.2227 10 7.912525 0 14 0 
0 0.05 0.2227 10 7.655069 0.002 14 0 
0 0.1 0.2227 10 7.189813 0.014 14 0 
0 0.2 0.2227 10 6.187701 0.12 14 0 
0 0.3 0.2227 10 6.183428 0 12 0.012 
0 0.4 0.2227 10 6.762498 0 12 0 
0 0.5 0.2227 10 7.573155 0 11 0 
0 0.6 0.2227 10 8.784077 0 11 0 
0 0.8 0.2227 10 14.93177 0.022 10 0.012 
0 0 0.2227 10 8.072913 0.006 14 0 
0 1 0.2227 10 192.4704 0.014 10 0 
1 0.01 0.2227 10 9.367626 0.228 14 0 
1 0.02 0.2227 10 9.313107 0.208 14 0 
1 0.05 0.2227 10 9.144536 0.146 14 0 
1 0.1 0.2227 10 8.849782 0.082 14 0 
1 0.2 0.2227 10 8.26158 0.028 14 0 
1 0.3 0.2227 10 7.663587 0.064 11 0.064 
1 0.4 0.2227 10 8.235948 0.012 11 0.006 
1 0.5 0.2227 10 9.04737 0 11 0.002 
1 0.6 0.2227 10 10.19103 0.008 10 0.078 
1 0.8 0.2227 10 16.45029 0.042 9 0.204 
